Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S285380811,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,9,US-TX,Cameron,L283726,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,2025-11-20,12:53 PM,eBird - Traveling Count,120,1,1.609,,9,,,,645920320
S297342812,Canada Goose,Branta canadensis,342,23,US-WA,King,L163354,Green Lake,47.6783945,-122.3382464,2026-01-31,04:04 PM,eBird - Traveling Count,53,1,4.21,,1
S305332784,Canada Goose,Branta canadensis,342,31,US-WA,King,L163354,Green Lake,47.6783945,-122.3382464,2026-03-02,06:43 AM,eBird - Traveling Count,67,1,1.847,,1
S308650663,Canada Goose,Branta canadensis,342,35,US-WA,King,L163354,Green Lake,47.6783945,-122.3382464,2026-03-12,06:43 PM,eBird - Traveling Count,36,1,4.652,,1
S342994543,Canada Goose,Branta canadensis,342,50,US-WA,King,L163354,Green Lake,47.6783945,-122.3382464,2026-05-20,09:01 AM,eBird - Traveling Count,222,1,4.611,,1
S348567406,Canada Goose,Branta canadensis,342,20,US-WA,King,L163354,Green Lake,47.6783945,-122.3382464,2026-05-28,06:44 PM,eBird - Traveling Count,29,1,1.323,,1
S245777966,Canada Goose,Branta canadensis,342,X,US-WA,King,L208659,Hiram M. Chittenden Ballard Locks,47.6653579,-122.3974647,2025-05-31,,Historical,,1
S292421718,Canada Goose,Branta canadensis,342,X,US-WA,King,L208659,Hiram M. Chittenden Ballard Locks,47.6653579,-122.3974647,2026-01-04,09:39 AM,eBird - Traveling Count,35,1,1.144,,1
S305183920,Canada Goose,Branta canadensis,342,10,US-WA,King,L208659,Hiram M. Chittenden Ballard Locks,47.6653579,-122.3974647,2026-03-01,04:24 PM,eBird - Traveling Count,40,1,1.265,,1
S297296203,Canada Goose,Branta canadensis,342,5,US-WA,King,L269461,Magnuson Park,47.6815336,-122.2505453,2026-01-31,11:00 AM,eBird - Traveling Count,99,1,1.046,,1
S301500561,Canada Goose,Branta canadensis,342,16,US-WA,King,L269461,Magnuson Park,47.6815336,-122.2505453,2026-02-16,10:02 AM,eBird - Traveling Count,133,1,2.13,,1
S303069344,Canada Goose,Branta canadensis,342,13,US-WA,King,L351484,Marymoor Park,47.6612642,-122.1184109,2026-02-22,06:42 AM,eBird - Traveling Count,176,1,4.108,,1
S160044564,Canada Goose,Branta canadensis,342,1,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-01-28,09:15 AM,eBird - Traveling Count,130,0,7.001,,1
S175815092,Canada Goose,Branta canadensis,342,X,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-05-19,08:00 AM,eBird - Traveling Count,150,1,3.219,,1
S179154810,Canada Goose,Branta canadensis,342,X,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-06-03,05:47 AM,eBird - Traveling Count,116,1,5.053,,1
S183862008,Canada Goose,Branta canadensis,342,X,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-06-26,06:10 AM,eBird - Traveling Count,109,1,4.812,,1
S191250464,Canada Goose,Branta canadensis,342,X,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2024-08-12,05:40 PM,eBird - Traveling Count,53,1,2.639,,1
S286517370,Canada Goose,Branta canadensis,342,X,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2025-11-28,09:23 AM,eBird - Traveling Count,132,1,2.605,,1
S295024890,Canada Goose,Branta canadensis,342,15,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-01-18,08:05 AM,eBird - Traveling Count,287,1,2.302,,1,,,,649185815
S298942557,Canada Goose,Branta canadensis,342,20,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-02-08,07:30 AM,eBird - Traveling Count,133,1,3.101,,1,,,,650546198
S305068426,Canada Goose,Branta canadensis,342,16,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-03-01,06:45 AM,eBird - Traveling Count,215,1,3.562,,1,,,,651953415
S307285086,Canada Goose,Branta canadensis,342,20,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-03-08,07:52 AM,eBird - Traveling Count,130,1,3.898,,1
S309534495,Canada Goose,Branta canadensis,342,8,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-03-15,08:45 AM,eBird - Traveling Count,93,1,2.076,,1
S317515997,Canada Goose,Branta canadensis,342,10,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-04-05,10:27 AM,eBird - Traveling Count,191,1,2.366,,1
S320771289,Canada Goose,Branta canadensis,342,24,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-04-12,07:20 AM,eBird - Traveling Count,190,1,3.623,,1
S326594442,Canada Goose,Branta canadensis,342,10,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-04-24,06:55 AM,eBird - Traveling Count,222,1,2.992,,1,,,,655747451 655747452
S333055230,Canada Goose,Branta canadensis,342,22,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-05-05,05:54 AM,eBird - Traveling Count,113,1,2.301,,1
S334002351,Canada Goose,Branta canadensis,342,2,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-05-07,06:22 AM,eBird - Traveling Count,64,1,.721,,1
S336459661,Canada Goose,Branta canadensis,342,23,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-05-10,06:04 AM,eBird - Traveling Count,165,1,2.998,,1,,,,657099512
S339377883,Canada Goose,Branta canadensis,342,31,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-05-15,06:24 AM,eBird - Traveling Count,131,1,2.121,,1,,,,657542413
S342868105,Canada Goose,Branta canadensis,342,15,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-05-20,06:19 AM,eBird - Traveling Count,134,1,3.112,,1,,,,658002293 658002294
S347722254,Canada Goose,Branta canadensis,342,30,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-05-27,05:41 AM,eBird - Traveling Count,137,1,3.085,,1,,,,658541841
S359192903,Canada Goose,Branta canadensis,342,80,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-06-18,08:29 AM,eBird - Traveling Count,72,1,2.496,,1
S374368808,Canada Goose,Branta canadensis,342,50,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2026-07-20,05:31 AM,eBird - Traveling Count,90,1,2.509,,1
S167616265,Canada Goose,Branta canadensis,342,X,US-WA,King,L165740,Washington Park Arboretum,47.6370819,-122.29574,2024-04-07,08:30 AM,eBird - Traveling Count,180,1,3.219,,15
S331099224,Canada Goose,Branta canadensis,342,30,US-WA,Pacific,L682593,Grayland Beach State Park,46.7880721,-124.0941381,2026-05-02,06:57 AM,eBird - Traveling Count,87,1,2.2,,1
S182684618,Canada Goose,Branta canadensis,342,X,GB-WLS,Pembrokeshire,L1067540,Skomer Island,51.7374472,-5.2943802,2024-06-20,11:12 AM,eBird - Traveling Count,278,1,7.403,,1
S176978136,Canada Goose,Branta canadensis,342,X,US-RI,Providence,L804728,Blackstone Park,41.833327,-71.3792148,2024-05-25,09:31 AM,eBird - Traveling Count,43,1,1.931,,1
S170170746,Canada Goose,Branta canadensis,342,X,US-WA,Skagit,L1369427,Fir Island -- Browns Slough Road,48.35381,-122.42297,2024-04-14,,Historical,,0
S319751834,Canada Goose,Branta canadensis,342,1,US-WA,Skagit,L476174,Skagit Wildlife Area--Wiley Slough,48.3246351,-122.3741287,2026-04-10,09:30 AM,eBird - Traveling Count,229,1,2.012,,3
