,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Muscovy Duck,0.0013777,0.0010248,0.0007686,0.0009503,0.0008736,0.0008165,0.001042,0.0007621,0.0006052,0.0005188,0.0005489,0.0005195,0.0007741,0.0007347,0.0006457,0.0004062,0.0003577,0.0004552,0.0007332,0.0004699,0.0004799,0.0006621,0.0004162,0.0005347,0.000513,0.0006528,0.0005473,0.000516,0.000549,0.0003367,0.0005967,0.0005881,0.0007142,0.0003355,0.0005197,0.0007514,0.0009999,0.0008283,0.0012697,0.0011782,0.0014356,0.0012665,0.0012636,0.0011871,0.0010144,0.0011629,0.0011114,0.0008795
Ringed Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0
Wood Duck,0.0278564,0.0261633,0.02603,0.0276999,0.0272124,0.0228794,0.0235457,0.03298,0.0369976,0.0453182,0.0558278,0.0666685,0.0744373,0.0789076,0.076216,0.0802706,0.0790466,0.0736914,0.0746334,0.073211,0.0652981,0.062298,0.0569972,0.0530781,0.0529239,0.0519973,0.0557684,0.0596251,0.0590129,0.0641527,0.0657154,0.070666,0.0741654,0.0687608,0.0749128,0.0762889,0.0649169,0.0581901,0.0550405,0.046561,0.0401955,0.039176,0.0355907,0.0322269,0.0276866,0.0245144,0.024662,0.0273151
Mandarin Duck,0.0,0.0001673,0.0001214,0.0004985,0.0003058,0.0004717,0.0003654,0.000254,0.0002087,0.0001353,0.0001626,0.0001545,0.0005359,0.0005668,5.7e-05,0.0001961,0.0001138,3.03e-05,0.0001047,0.0001397,0.0002844,5.84e-05,0.0,5.35e-05,2.23e-05,0.0,2.61e-05,1.91e-05,0.0,2.59e-05,0.0,0.0015,6.91e-05,0.0001807,7.42e-05,0.0001044,0.000125,7.77e-05,0.0002953,0.0002946,0.0003037,0.000197,0.0006017,0.0001099,8.95e-05,0.0001257,0.0001323,8.62e-05
Baikal Teal,0.0015,0.0001255,0.0002023,0.0015,0.0,1.81e-05,0.0,0.0,0.0,0.0,0.0015,0.0015,0.0015,6.3e-05,3.8e-05,0.0,0.0,0.0,0.0,1.27e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29e-05,0.0,0.0
Garganey,1.51e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29e-05,1.72e-05
Blue-winged Teal,0.0,0.0,2.02e-05,1.56e-05,2.18e-05,0.0015,0.0,0.0,0.0,0.0,8.13e-05,0.0002387,0.0002382,0.0009236,0.0028488,0.0063309,0.0145184,0.0250341,0.0394204,0.039939,0.0313516,0.0244012,0.0173967,0.0117813,0.0073152,0.0053479,0.005655,0.0062109,0.0087584,0.0111626,0.0134907,0.0125292,0.0120268,0.0108149,0.0100478,0.0070131,0.0051244,0.0032615,0.0014469,0.0009258,0.0001656,5.63e-05,3.01e-05,4.4e-05,2.98e-05,3.14e-05,2.65e-05,1.72e-05
Cinnamon Teal,0.0024072,0.0031998,0.0025079,0.0029756,0.0023587,0.0018688,0.0019215,0.0040417,0.0036726,0.0039927,0.0059772,0.0110787,0.017984,0.0290524,0.0408524,0.0522858,0.0602198,0.0621302,0.0625349,0.0544289,0.0433484,0.0363778,0.0261367,0.0171996,0.0111513,0.008662,0.0105022,0.0129761,0.0174918,0.0190878,0.0218446,0.0220464,0.0172799,0.0146607,0.0124731,0.0080985,0.0047494,0.0039604,0.002628,0.0030297,0.0032852,0.0023641,0.0028581,0.0034953,0.0025658,0.0018229,0.0019052,0.0025177
Northern Shoveler,0.0769685,0.0771933,0.076391,0.0764473,0.0722242,0.0623787,0.0556435,0.0799326,0.0798589,0.0784553,0.0805701,0.0867899,0.0892652,0.09801,0.100849,0.1001457,0.0825259,0.065286,0.05522,0.0389993,0.0240825,0.0182668,0.0116325,0.0064164,0.0053972,0.0058249,0.0064889,0.0079309,0.0130502,0.023931,0.0419769,0.0594735,0.063544,0.0668766,0.0708293,0.0768733,0.0779903,0.0803997,0.0874624,0.0917335,0.0910471,0.0948441,0.0972051,0.1015168,0.0887284,0.0807405,0.076632,0.0811519
Gadwall,0.1082918,0.1069121,0.1073155,0.1124821,0.1085219,0.0913363,0.0790809,0.1153144,0.1134969,0.1146827,0.1174091,0.1198152,0.1206281,0.1240606,0.1225191,0.1241386,0.121789,0.1193446,0.1165852,0.1083497,0.0868035,0.0784615,0.0643013,0.0508858,0.0390071,0.036481,0.0349204,0.0340551,0.0364807,0.0418534,0.0523803,0.0618617,0.0661936,0.0716517,0.0720667,0.0806095,0.0816648,0.0898478,0.0979153,0.1042311,0.1033045,0.1090566,0.1128193,0.1186854,0.104332,0.1072663,0.1007647,0.1096741
