,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Northern Shoveler,0.1072607,0.1085614,0.1063724,0.1015018,0.0829028,0.0730981,0.0635815,0.0932164,0.0900923,0.0919929,0.088658,0.0981036,0.0857956,0.1035987,0.1101744,0.101636,0.0623839,0.0512366,0.0354542,0.0277236,0.0112885,0.0072702,0.0028703,0.0033454,0.0024244,0.0027196,0.0042527,0.0035898,0.003644,0.0133759,0.0379589,0.0662135,0.0719446,0.0871244,0.0986104,0.1058114,0.0940904,0.1128996,0.1314176,0.1423391,0.1183784,0.134096,0.1426511,0.1535288,0.1110044,0.1152103,0.1134206,0.1137247
Gadwall,0.1900047,0.2001836,0.208762,0.2117426,0.1780756,0.1605691,0.1358999,0.2052813,0.1832331,0.1970337,0.1961905,0.2049599,0.1765928,0.2007452,0.2049912,0.2051039,0.1837816,0.1976472,0.1831132,0.1928082,0.1523948,0.1467981,0.1267043,0.1046747,0.0727308,0.0740215,0.0729206,0.0669183,0.0590769,0.0758375,0.0979465,0.1249228,0.1292394,0.151442,0.1623598,0.1797917,0.153691,0.1770574,0.2025543,0.212874,0.170933,0.2056846,0.212835,0.2216842,0.1659729,0.1935281,0.1930794,0.1916459
Eurasian Wigeon,0.0334158,0.0292056,0.0302025,0.0284179,0.023329,0.0219948,0.0173045,0.0252869,0.0210991,0.0214963,0.0172294,0.0123389,0.0074638,0.0056343,0.0021701,0.0017055,0.0005502,0.0001417,0.0,0.0,0.0,0.0,0.0,0.0006163,0.0002909,0.0,0.0,0.0,0.0,0.0,0.0,8.83e-05,0.0015,0.0,0.0002438,0.0043804,0.0078661,0.0126955,0.0157088,0.0214869,0.0213144,0.0232339,0.0247566,0.0265447,0.019319,0.0236716,0.0236693,0.0296975
American Wigeon,0.2181165,0.22747,0.237222,0.2274081,0.1848563,0.165723,0.1448058,0.1981898,0.1776173,0.1965643,0.1914286,0.1721979,0.1273469,0.1141403,0.0981554,0.0701156,0.034459,0.0201261,0.0158463,0.0115672,0.0099984,0.0077682,0.0047155,0.005018,0.003782,0.0029561,0.0050031,0.0047865,0.0064046,0.0066266,0.0134412,0.0413172,0.0731487,0.0988295,0.1212823,0.1471819,0.1481444,0.1921333,0.2238825,0.2475068,0.2208756,0.2468451,0.2416777,0.2576451,0.1971395,0.2194661,0.212904,0.2256453
Mallard,0.3582037,0.3946095,0.4083969,0.4140342,0.348321,0.3207027,0.2962065,0.4099095,0.374649,0.4227917,0.434026,0.4348407,0.3793475,0.422301,0.407395,0.4064178,0.3604099,0.3816172,0.3448579,0.3586471,0.2846315,0.2956877,0.2756535,0.2718549,0.2339992,0.2765756,0.2899312,0.3060567,0.26303,0.3207756,0.3407592,0.3636444,0.3263095,0.347653,0.3653096,0.3688309,0.3213998,0.3611426,0.3915709,0.4115141,0.3373733,0.3999292,0.4132917,0.4226527,0.3362152,0.3776127,0.3908446,0.3868304
American Black Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002017,0.0,0.0001277,0.0001813,0.0003134,0.0,0.0015,0.0015,0.0,0.0,0.0,6.94e-05
White-cheeked Pintail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Pintail,0.0374234,0.0453939,0.0458015,0.0487442,0.0277688,0.0235918,0.0216448,0.0255669,0.018933,0.0197128,0.0174892,0.0127644,0.0108495,0.0138132,0.0135214,0.0092224,0.0074283,0.005315,0.0060024,0.0027032,0.0008063,0.0010955,0.0005126,0.0004402,0.0003879,0.0007095,0.0005003,0.0009205,0.0005521,0.0038041,0.0134412,0.0279862,0.034718,0.0503198,0.0520478,0.0351407,0.0233965,0.0286783,0.0307791,0.0291931,0.0208965,0.0247671,0.0267997,0.0233163,0.024976,0.0327373,0.0301574,0.0318485
Green-winged Teal,0.1021334,0.1118158,0.1242117,0.1346453,0.1031644,0.0968351,0.0875937,0.1325931,0.1120738,0.1270065,0.1219913,0.1162169,0.0958757,0.1197746,0.1231951,0.1073842,0.0491093,0.0222521,0.0126451,0.0053436,0.0034672,0.0022906,0.0030753,0.002465,0.0021334,0.0023649,0.0035022,0.0057069,0.0094965,0.0220886,0.046173,0.0654189,0.0698374,0.0772294,0.0876402,0.0889711,0.073215,0.0906824,0.1127714,0.105349,0.0842127,0.0955301,0.1037135,0.0981975,0.0813321,0.088139,0.0958789,0.099431
Canvasback,0.0295262,0.0312083,0.0324427,0.0256344,0.0264772,0.0250436,0.0151626,0.0219278,0.0180505,0.0142683,0.0135931,0.0092998,0.0064635,0.0056343,0.0061764,0.0044217,0.0010317,0.001063,0.0004002,6.29e-05,0.0015,0.0,0.0,0.0,0.0001939,0.0001182,0.0,0.0,0.0,0.0,0.0,0.0002649,0.000602,0.000724,0.0009751,0.0018495,0.0020169,0.0085015,0.0132822,0.0233001,0.0220458,0.0231159,0.0218724,0.0290557,0.0256164,0.0241753,0.0263126,0.0305995
