,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Northern Pintail,0.1454545,0.146789,0.178634,0.1500701,0.1001927,0.0995935,0.0779221,0.0583658,0.0502431,0.027451,0.0111524,0.0133185,0.0224719,0.0170807,0.0120968,0.0156576,0.0116732,0.0093897,0.0100719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017422,0.0,0.0,0.0174129,0.0466165,0.1534091,0.1906874,0.2202729,0.1503356,0.1066398,0.0881226,0.0865191,0.0469169,0.0562016,0.0594796,0.0396975,0.0656716,0.1613757,0.1148459,0.1656627,0.1365188
Green-winged Teal,0.6755245,0.6330275,0.6935201,0.7377279,0.7129094,0.7723577,0.7346939,0.7548638,0.7147488,0.7176471,0.6821561,0.6115427,0.5955056,0.6490683,0.6612903,0.6795407,0.3942931,0.1032864,0.0517986,0.0134159,0.0040872,0.0070547,0.0091324,0.006012,0.0076923,0.0053619,0.028133,0.0383275,0.0519126,0.1061008,0.2164179,0.2992481,0.3276515,0.4124169,0.4366472,0.4322148,0.4808853,0.4750958,0.5311871,0.5241287,0.5581395,0.4869888,0.5406427,0.541791,0.6455026,0.6470588,0.6746988,0.6450512
Canvasback,0.3216783,0.2954128,0.2942207,0.2440393,0.3371869,0.3394309,0.2003711,0.2159533,0.1636953,0.1313725,0.1282528,0.0810211,0.0642055,0.0512422,0.063172,0.0490605,0.0103761,0.0129108,0.0014388,0.0,0.0,0.0,0.0,0.0,0.0051282,0.002681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019493,0.009396,0.0100604,0.0517241,0.084507,0.1568365,0.1337209,0.133829,0.1568998,0.180597,0.2830688,0.1876751,0.2018072,0.2457338
Redhead,0.0951049,0.1284404,0.0945709,0.1009818,0.150289,0.1260163,0.0871985,0.0972763,0.0696921,0.0568627,0.0464684,0.0277469,0.0192616,0.0201863,0.0255376,0.019833,0.0194553,0.0258216,0.0043165,0.004128,0.0027248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066519,0.0545809,0.0107383,0.0100604,0.0038314,0.0015,0.038874,0.0329457,0.0390335,0.0321361,0.0402985,0.0793651,0.0504202,0.1385542,0.1228669
Ring-necked Duck,0.6741259,0.6825688,0.6935201,0.7040673,0.6666667,0.695122,0.6345083,0.6498054,0.5980551,0.6803922,0.7137546,0.7502775,0.6597111,0.6723602,0.6948925,0.6492693,0.5706874,0.3603286,0.2273381,0.1424149,0.0776567,0.0388007,0.0182648,0.0200401,0.025641,0.0241287,0.0025575,0.010453,0.010929,0.005305,0.0074627,0.0135338,0.0416667,0.1263858,0.2612086,0.1637584,0.2816901,0.256705,0.3219316,0.461126,0.5368217,0.5092937,0.5860113,0.5761194,0.6613757,0.6218487,0.5813253,0.6382253
Tufted Duck,0.0,0.0,0.0,0.0,0.0558767,0.0284553,0.0,0.0019455,0.0015,0.0,0.0018587,0.0,0.0,0.0015528,0.0013441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Scaup,0.0811189,0.0972477,0.1015762,0.0771388,0.1136802,0.0955285,0.0612245,0.0603113,0.0810373,0.0686275,0.0892193,0.0577137,0.0802568,0.0496894,0.0819892,0.065762,0.0661479,0.0223005,0.0129496,0.006192,0.0231608,0.0070547,0.0022831,0.0,0.0025641,0.0,0.0,0.0,0.0,0.0238727,0.0149254,0.0030075,0.0,0.0110865,0.0253411,0.0483221,0.0442656,0.0517241,0.0724346,0.0831099,0.0755814,0.0464684,0.0453686,0.0507463,0.0899471,0.0532213,0.0542169,0.0802048
Lesser Scaup,0.2433566,0.2495413,0.2732049,0.2173913,0.283237,0.2642276,0.2319109,0.2762646,0.2155592,0.2313725,0.2769517,0.2697003,0.2343499,0.2453416,0.2540323,0.2160752,0.1984436,0.0985915,0.0561151,0.0732714,0.0245232,0.005291,0.0,0.006012,0.0076923,0.0053619,0.0230179,0.0226481,0.0054645,0.0,0.0024876,0.0,0.0018939,0.0066519,0.0136452,0.0187919,0.0885312,0.0900383,0.0865191,0.1434316,0.1492248,0.169145,0.1115312,0.1343284,0.2037037,0.1288515,0.1716867,0.2167235
Harlequin Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surf Scoter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016207,0.0,0.0018587,0.0,0.0,0.0,0.0,0.0020877,0.001297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013423,0.0100604,0.0114943,0.0100604,0.0040214,0.003876,0.0,0.0018904,0.0,0.0,0.0,0.0,0.0
White-winged Scoter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.001297,0.0,0.0,0.0,0.006812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057471,0.0020121,0.0013405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Scoter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-tailed Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040241,0.0013405,0.0,0.0015,0.0,0.0,0.0026455,0.0,0.0,0.0
Bufflehead,0.9020979,0.8752294,0.9019264,0.8653576,0.9036609,0.902439,0.8979592,0.8949416,0.8687196,0.8980392,0.8959108,0.872364,0.8699839,0.8447205,0.811828,0.691023,0.4928664,0.2828638,0.142446,0.1052632,0.0858311,0.021164,0.0159817,0.0400802,0.0128205,0.0214477,0.0230179,0.0574913,0.0081967,0.005305,0.0024876,0.006015,0.0075758,0.0066519,0.0097466,0.0268456,0.0744467,0.0517241,0.2012072,0.5656836,0.753876,0.8457249,0.8865784,0.8925373,0.8968254,0.8655462,0.9066265,0.9044369
Common Goldeneye,0.0881119,0.0972477,0.1103327,0.0827489,0.0751445,0.0813008,0.0779221,0.1420233,0.1458671,0.1137255,0.1171004,0.0799112,0.0722311,0.0450311,0.0403226,0.0344468,0.0181582,0.0117371,0.0115108,0.002064,0.0,0.0,0.0,0.0,0.0,0.0,0.0051151,0.0,0.0,0.0026525,0.0,0.0,0.0056818,0.0,0.0,0.0015,0.0,0.0019157,0.0040241,0.0254692,0.0232558,0.0427509,0.0491493,0.0776119,0.0687831,0.0560224,0.1204819,0.0836177
Barrow's Goldeneye,0.0027972,0.0036697,0.0035026,0.002805,0.0250482,0.0081301,0.0055659,0.0097276,0.012966,0.0019608,0.0074349,0.0011099,0.0,0.0,0.0040323,0.0020877,0.002594,0.0,0.0043165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060362,0.0160858,0.0096899,0.0055762,0.0037807,0.0029851,0.010582,0.0015,0.003012,0.003413
Hooded Merganser,0.7034965,0.6311927,0.5796848,0.6255259,0.6416185,0.6097561,0.5510204,0.5719844,0.5737439,0.5470588,0.5446097,0.5338513,0.4622793,0.4425466,0.3521505,0.1941545,0.1374838,0.0575117,0.0374101,0.0113519,0.0081744,0.021164,0.0205479,0.0180361,0.0307692,0.0482574,0.0306905,0.0853659,0.1721311,0.1246684,0.1094527,0.1849624,0.25,0.345898,0.4346979,0.4255034,0.4587525,0.4310345,0.5331992,0.6608579,0.7732558,0.8159851,0.8090737,0.7626866,0.7433862,0.7759104,0.7138554,0.7116041
Common Merganser,0.6293706,0.5981651,0.6164623,0.545582,0.539499,0.5995935,0.5714286,0.5875486,0.5899514,0.6392157,0.6672862,0.6970033,0.6597111,0.6413043,0.5645161,0.4926931,0.2386511,0.1514085,0.1035971,0.0712074,0.0463215,0.021164,0.0045662,0.006012,0.0,0.0134048,0.0051151,0.010453,0.0081967,0.0106101,0.0124378,0.0135338,0.0170455,0.0687361,0.037037,0.0348993,0.0342052,0.032567,0.0422535,0.075067,0.1182171,0.197026,0.3213611,0.2895522,0.3624339,0.4313725,0.4548193,0.5494881
Red-breasted Merganser,0.0083916,0.0146789,0.0087566,0.0056101,0.0077071,0.0081301,0.0074212,0.0038911,0.0081037,0.0058824,0.0092937,0.0133185,0.0144462,0.0186335,0.0282258,0.0114823,0.001297,0.0046948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020121,0.0057471,0.0020121,0.0053619,0.0174419,0.0092937,0.0113422,0.0104478,0.0026455,0.0140056,0.0150602,0.0102389
Ruddy Duck,0.1496503,0.1834862,0.1978984,0.1935484,0.1907514,0.2439024,0.2356215,0.2178988,0.1426256,0.1352941,0.1040892,0.1054384,0.0722311,0.0434783,0.0497312,0.0490605,0.0440986,0.0622066,0.0676259,0.0268318,0.0122616,0.0088183,0.0456621,0.0200401,0.0307692,0.0160858,0.0051151,0.0121951,0.0191257,0.0159151,0.0149254,0.0165414,0.0189394,0.0443459,0.0584795,0.061745,0.1649899,0.1072797,0.0744467,0.1045576,0.1492248,0.1524164,0.0964083,0.0701493,0.0925926,0.092437,0.126506,0.1262799
Northern Bobwhite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California Quail,0.0013986,0.0,0.0052539,0.0,0.0019268,0.0020325,0.0074212,0.0058366,0.0015,0.0098039,0.0055762,0.0077691,0.011236,0.0248447,0.0147849,0.0167015,0.0207523,0.0152582,0.0143885,0.0134159,0.0108992,0.0176367,0.0114155,0.006012,0.0205128,0.0214477,0.0179028,0.0191638,0.0218579,0.0291777,0.0223881,0.0105263,0.0113636,0.0155211,0.0136452,0.0107383,0.0080483,0.0057471,0.0060362,0.0013405,0.003876,0.0037175,0.0037807,0.0029851,0.0132275,0.0084034,0.0150602,0.0
Ring-necked Pheasant,0.0097902,0.0146789,0.0192644,0.0070126,0.017341,0.0162602,0.0185529,0.0233463,0.0291734,0.0392157,0.0315985,0.0432852,0.0513644,0.0434783,0.0698925,0.0563674,0.0518807,0.0469484,0.0460432,0.0412797,0.0326975,0.0282187,0.0342466,0.0140281,0.025641,0.0348525,0.028133,0.0191638,0.0273224,0.0371353,0.0373134,0.0150376,0.0265152,0.0243902,0.0311891,0.0268456,0.0342052,0.0191571,0.0221328,0.0254692,0.0193798,0.0148699,0.026465,0.0253731,0.0238095,0.022409,0.0180723,0.0051195
Rock Pigeon,0.1440559,0.1357798,0.1243433,0.1360449,0.132948,0.1605691,0.1428571,0.1673152,0.1620746,0.1588235,0.1561338,0.1254162,0.1235955,0.136646,0.1357527,0.1450939,0.153048,0.1244131,0.1251799,0.1393189,0.1253406,0.1322751,0.1164384,0.1162325,0.1051282,0.150134,0.1483376,0.130662,0.1502732,0.2015915,0.238806,0.1774436,0.2064394,0.2128603,0.2202729,0.1785235,0.1710262,0.1551724,0.1891348,0.1461126,0.1627907,0.1579926,0.2079395,0.2164179,0.1746032,0.1764706,0.189759,0.1501706
Band-tailed Pigeon,0.0027972,0.0018349,0.0,0.002805,0.0019268,0.0020325,0.0018553,0.0,0.0048622,0.0098039,0.0092937,0.0055494,0.0272873,0.0248447,0.0349462,0.0344468,0.0505837,0.0269953,0.0417266,0.0423117,0.0504087,0.0582011,0.043379,0.0280561,0.0230769,0.0134048,0.0102302,0.0121951,0.0191257,0.0265252,0.0373134,0.0270677,0.0378788,0.0465632,0.0487329,0.0765101,0.0362173,0.0306513,0.0241449,0.0160858,0.0155039,0.0148699,0.0037807,0.0059701,0.0079365,0.0028011,0.003012,0.0
Eurasian Collared-Dove,0.0,0.0055046,0.0017513,0.0,0.0,0.0,0.0018553,0.0,0.0,0.0039216,0.0,0.0110988,0.0096308,0.0201863,0.0255376,0.0334029,0.0402075,0.0211268,0.0230216,0.0216718,0.0122616,0.010582,0.0114155,0.004008,0.0,0.002681,0.0153453,0.0121951,0.0081967,0.0026525,0.0074627,0.0075188,0.0018939,0.0110865,0.0155945,0.0187919,0.0140845,0.01341,0.0080483,0.0013405,0.0116279,0.0018587,0.0018904,0.0014925,0.0,0.0028011,0.0,0.0
Mourning Dove,0.0013986,0.0018349,0.0,0.0,0.0,0.0,0.0055659,0.0,0.0016207,0.0019608,0.0037175,0.0033296,0.0,0.0015528,0.0026882,0.0093946,0.0207523,0.0316901,0.028777,0.0227038,0.013624,0.0176367,0.0205479,0.01002,0.0102564,0.0107239,0.0102302,0.0052265,0.010929,0.005305,0.0049751,0.0150376,0.0265152,0.0199557,0.0136452,0.009396,0.0040241,0.0095785,0.0040241,0.0120643,0.0077519,0.0074349,0.0018904,0.0059701,0.005291,0.0056022,0.003012,0.0051195
Common Nighthawk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001032,0.0040872,0.0176367,0.0045662,0.002004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022173,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Poorwill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Swift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001297,0.0023474,0.0100719,0.0134159,0.0108992,0.0493827,0.0365297,0.008016,0.0076923,0.0080429,0.0025575,0.0121951,0.0,0.0079576,0.0049751,0.0105263,0.0018939,0.0022173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
